scenario	repetition	position	candidate	stage	role	pid	sample_count	sample_interval_s	cpu_ticks	user_system_cpu_ms	cpu_percent_one_core	cpu_resolution_percent_one_core	cpu_us_per_correct_on_time	cpu_resolution_us_per_correct_on_time	rss_median_kib	rss_peak_kib	fd_median	fd_peak	stage_invalid_reason	pair_valid
w1-tcp	3	1	go	common-load	fixture-1	68624	4	3.002114	5	50.0	1.665	0.333			10850.0	10856	7.0	7		true
w1-tcp	3	1	go	common-load	load-generator	68710	4	3.002198	12	120.0	3.997	0.333			13108.0	13404	9.5	10		true
w1-tcp	3	1	go	common-load	sut	68648	4	3.002145	17	170.0	5.663	0.333	141.667	8.333	37996.0	43224	8.5	9		true
w1-tcp	3	1	go	near-saturation	fixture-1	68624	4	3.002641	11	110.0	3.663	0.333			11910.0	13348	7.0	7		true
w1-tcp	3	1	go	near-saturation	load-generator	68745	4	3.002585	23	230.0	7.66	0.333			13708.0	13972	10.0	10		true
w1-tcp	3	1	go	near-saturation	sut	68648	4	3.00269	33	330.0	10.99	0.333	137.5	4.167	49562.0	54600	8.5	9		true
w1-tcp	3	1	go	overload	fixture-1	68624	4	3.003015	15	150.0	4.995	0.333			13388.0	13396	7.0	7		true
w1-tcp	3	1	go	overload	load-generator	68780	4	3.003083	29	290.0	9.657	0.333			14306.0	14432	10.0	11		true
w1-tcp	3	1	go	overload	sut	68648	4	3.00313	43	430.0	14.318	0.333	143.333	3.333	54632.0	54664	8.0	9		true
w1-tcp	3	1	go	recovery	fixture-1	68624	4	3.002576	3	30.0	0.999	0.333			13396.0	13396	7.0	7	same-process recovery criteria failed	false
w1-tcp	3	1	go	recovery	load-generator	68817	4	3.002478	7	70.0	2.331	0.333			14544.0	15180	9.0	10	same-process recovery criteria failed	false
w1-tcp	3	1	go	recovery	sut	68648	4	3.002381	10	100.0	3.331	0.333	166.667	16.667	54664.0	54664	8.0	9	same-process recovery criteria failed	false
w1-tcp	3	2	rust	normal-reference	fixture-1	68953	4	3.00208	3	30.0	0.999	0.333			9706.0	10764	7.0	7		true
w1-tcp	3	2	rust	normal-reference	load-generator	68988	4	3.001961	7	70.0	2.332	0.333			10972.0	13076	9.0	9		true
w1-tcp	3	2	rust	normal-reference	sut	68977	4	3.001764	4	40.0	1.333	0.333	66.667	16.667	3104.0	3104	7.0	8		true
w1-tcp	3	2	rust	common-load	fixture-1	68953	4	3.002903	7	70.0	2.331	0.333			10802.0	10812	7.0	7		true
w1-tcp	3	2	rust	common-load	load-generator	69024	4	3.002736	15	150.0	4.995	0.333			14248.0	15568	9.0	10		true
w1-tcp	3	2	rust	common-load	sut	68977	4	3.00258	13	130.0	4.33	0.333	108.333	8.333	3104.0	3104	7.0	8		true
w1-tcp	3	2	rust	near-saturation	fixture-1	68953	4	3.002085	11	110.0	3.664	0.333			11858.0	12904	7.0	7		true
w1-tcp	3	2	rust	near-saturation	load-generator	69061	4	3.002107	25	250.0	8.327	0.333			13500.0	13760	10.5	11		true
w1-tcp	3	2	rust	near-saturation	sut	68977	4	3.00215	20	200.0	6.662	0.333	83.333	4.167	3108.0	3108	8.0	8		true
w1-tcp	3	2	rust	overload	fixture-1	68953	4	3.002431	12	120.0	3.997	0.333			13320.0	13332	7.0	7		true
w1-tcp	3	2	rust	overload	load-generator	69095	4	3.002529	27	270.0	8.992	0.333			14478.0	15008	10.0	11		true
w1-tcp	3	2	rust	overload	sut	68977	4	3.00251	22	220.0	7.327	0.333	73.333	3.333	3112.0	3112	7.0	8		true
w1-tcp	3	2	rust	recovery	fixture-1	68953	4	3.002388	4	40.0	1.332	0.333			13340.0	13340	7.0	7		false
w1-tcp	3	2	rust	recovery	load-generator	69134	4	3.002238	8	80.0	2.665	0.333			17332.0	17364	9.0	10		false
w1-tcp	3	2	rust	recovery	sut	68977	4	3.002232	6	60.0	1.999	0.333	100.0	16.667	3112.0	3112	7.0	8		false
w2	1	1	go	official-w2-cold	fixture-1	69266	4	3.003042	1	10.0	0.333	0.333			10708.0	10724	7.0	7		true
w2	1	1	go	official-w2-cold	load-generator	69308	4	3.003123	8	80.0	2.664	0.333			13694.0	13780	9.0	9		true
w2	1	1	go	official-w2-cold	sut	69291	4	3.003117	3	30.0	0.999	0.333	50.0	16.667	38924.0	38932	9.0	9		true
