scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w3	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	133.3333,116.6667,100.0000	116.6667,100.0000,100.0000	-12.5000,-14.2857,0.0000	0.1429	28.57%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3308.0000,3252.0000,3344.0000	3508.0000,3536.0000,3508.0000	6.0459,8.7331,4.9043	0.0109	32768 KiB	0		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	p95_us	3	750.0000,605.0000,637.0000	634.0000,625.0000,590.0000	-15.4667,3.3058,-7.3783	0.0502	10.05%	0		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	p99_us	3	1348.0000,944.0000,1049.0000	1210.0000,889.0000,1053.0000	-10.2374,-5.8263,0.3813	0.1001	20.02%	0		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	108.3333,83.3333,75.0000	100.0000,91.6667,83.3333	-7.6923,10.0000,11.1111	0.1000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3260.0000,3216.0000,3268.0000	3376.0000,3320.0000,3412.0000	3.5583,3.2338,4.4064	0.0025	8192 KiB	0		no repeatable regression under frozen guard
w3	main	400	after_on_vs_after_off	p95_us	3	634.0000,625.0000,590.0000	630.0000,599.0000,564.0000	-0.6309,-4.1600,-4.4068	0.0144	10.00%	0		no repeatable regression under frozen guard
w3	main	400	after_on_vs_after_off	p99_us	3	1210.0000,889.0000,1053.0000	840.0000,1111.0000,947.0000	-30.5785,24.9719,-10.0665	0.1491	29.82%	0		no repeatable regression under frozen guard
w3	main	400	after_on_vs_after_off	cpu_us_per_correct_query	3	100.0000,91.6667,83.3333	91.6667,83.3333,91.6667	-8.3333,-9.0909,10.0000	0.0909	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3376.0000,3320.0000,3412.0000	5108.0000,5152.0000,5108.0000	51.3033,55.1807,49.7069	0.0107	32768 KiB	0		no repeatable regression under frozen guard
